Section,Champ,Type,Format,Obligatoire,Exemple,Notes
post_content (ACF),_kb_*_img,string,Field key,Variable,"""field_68527a9b86417""",Field key ACF pour image
post_content (ACF),_kb_*_icon,string,Field key,Variable,"""field_67cf08c12bbfc""",Field key ACF pour icône
post_content (ACF),kb_*_title,string,Texte/HTML,Variable,"""Expert-comptable...""",Titre
post_content (ACF),_kb_*_title,string,Field key,Variable,"""field_68527a9b86396""",Field key ACF pour titre
post_content (ACF),kb_*_desc,string,Texte/HTML,Variable,"""Pour se lancer...""",Description
post_content (ACF),_kb_*_desc,string,Field key,Variable,"""field_68527a9b863da""",Field key ACF pour description
post_content (ACF),kb_*_subtitle,string,Texte/HTML,Variable,"""De la création...""",Sous-titre
post_content (ACF),kb_*_url,string,URL,Variable,"""/nous-contacter/""",URL
post_content (ACF),kb_*_link,string,URL,Variable,"""/nous-contacter""",Lien
post_content (ACF),kb_*_btn_txt,string,Texte,Variable,"""Obtenez un devis""",Texte du bouton
post_content (ACF),kb_*_show_btn,string,"0 ou 1",Variable,"""1""",Afficher le bouton
post_content (ACF),kb_*_text_small,string,"0 ou 1",Variable,"""1""",Texte petit
post_content (ACF),kb_*_list (compteur),integer,Integer,Variable,10,Nombre d'items dans la liste
post_content (ACF),kb_*_items (compteur),integer,Integer,Variable,3,Nombre d'items
post_content (ACF),kb_offers_list (array),array[string],Array de strings,Variable,"[""25896"",""24919"",""25897"",""25898""]",⚠️ IDs en STRINGS dans l'array
post_content (ACF),metiers (array),array[string],Array de strings,Variable,"[""943"",""13457"",""986""]",⚠️ IDs en STRINGS dans l'array
post_content (ACF),kb_*_list_N_kb_*,variable,Variable selon le champ,Variable,Divers,Champs répéteurs (N = index)
feature_img,[0] url,string,URL,Oui,"""https://staging.site.../image.webp""",URL de l'image
feature_img,[1] width,integer,Pixels,Oui,596,Largeur
feature_img,[2] height,integer,Pixels,Oui,1014,Hauteur
feature_img,[3] is_intermediate,boolean,Boolean,Oui,false,Taille intermédiaire
